Tanggal,BI Rate
01/1/2021,6.5
01/2/2021,6.5
01/3/2021,6.5
01/4/2021,6.5
01/5/2021,6.5
01/6/2021,6.5
01/7/2021,6.5
01/8/2021,6.5
01/9/2021,6.5
01/10/2021,6.5
01/11/2021,6.5
01/12/2021,6.5
01/1/2022,6.5
01/2/2022,6.75
01/3/2022,6.75
01/4/2022,6.75
01/5/2022,6.75
01/6/2022,6.75
01/7/2022,6.75
01/8/2022,6.75
01/9/2022,6.75
01/10/2022,6.5
01/11/2022,6
01/12/2022,6
01/1/2023,6
01/2/2023,5.75
01/3/2023,5.75
01/4/2023,5.75
01/5/2023,5.75
01/6/2023,5.75
01/7/2023,5.75
01/8/2023,5.75
01/9/2023,5.75
01/10/2023,5.75
01/11/2023,5.75
01/12/2023,5.75
01/1/2024,5.75
01/2/2024,5.75
01/3/2024,5.75
01/4/2024,5.75
01/5/2024,5.75
01/6/2024,6
01/7/2024,6.5
01/8/2024,7
01/9/2024,7.25
01/10/2024,7.25
01/11/2024,7.5
01/12/2024,7.5
01/1/2025,7.5
01/2/2025,7.5
01/3/2025,7.5
01/4/2025,7.5
01/5/2025,7.5
01/6/2025,7.5
01/7/2025,7.5
01/8/2025,7.5
01/9/2025,7.5
01/10/2025,7.5
01/11/2025,7.75
01/12/2025,7.75
01/1/2026,7.75
01/2/2026,7.5
01/3/2026,7.5
01/4/2026,7.5
01/5/2026,7.5
01/6/2026,7.5
01/7/2026,7.5
01/8/2026,7.5
01/9/2026,7.5
01/10/2026,7.5
01/11/2026,7.5
01/12/2026,7.5
01/1/2027,7.25
01/2/2027,7
01/3/2027,6.75
01/4/2027,6.75
01/5/2027,6.75
01/6/2027,6.5
01/7/2027,6.5
01/8/2027,5.25
01/9/2027,5
01/10/2027,4.75
01/11/2027,4.75
01/12/2027,4.75
01/1/2028,4.75
01/2/2028,4.75
01/3/2028,4.75
01/4/2028,4.75
01/5/2028,4.75
01/6/2028,4.75
01/7/2028,4.75
01/8/2028,4.5
01/9/2028,4.25
01/10/2028,4.25
01/11/2028,4.25
01/12/2028,4.25
01/1/2029,4.25
01/2/2029,4.25
01/3/2029,4.25
01/4/2029,4.25
01/5/2029,4.75
01/6/2029,5.25
01/7/2029,5.25
01/8/2029,5.5
01/9/2029,5.75
01/10/2029,5.75
01/11/2029,6
01/12/2029,6
01/1/2030,6
01/2/2030,6
01/3/2030,6
01/4/2030,6
01/5/2030,6
01/6/2030,6
01/7/2030,5.75
01/8/2030,5.5
01/9/2030,5.25
01/10/2030,5
01/11/2030,5
01/12/2030,5
01/1/2031,5
01/2/2031,4.75
01/3/2031,4.5
01/4/2031,4.5
01/5/2031,4.5
01/6/2031,4.25
01/7/2031,4
01/8/2031,4
01/9/2031,4
01/10/2031,4
01/11/2031,3.75
01/12/2031,3.75
01/1/2032,3.75
01/2/2032,3.5
01/3/2032,3.5
01/4/2032,3.5
01/5/2032,3.5
01/6/2032,3.5
01/7/2032,3.5
01/8/2032,3.5
01/9/2032,3.5
01/10/2032,3.5
01/11/2032,3.5
01/12/2032,3.5
01/1/2033,3.5
01/2/2033,3.5
01/3/2033,3.5
01/4/2033,3.5
01/5/2033,3.5
01/6/2033,3.5
01/7/2033,3.5
01/8/2033,3.75
01/9/2033,4.25
01/10/2033,4.75
01/11/2033,5.25
01/12/2033,5.5
01/1/2034,5.75
01/2/2034,5.75
01/3/2034,5.75
01/4/2034,5.75
01/5/2034,5.75
01/6/2034,5.75
01/7/2034,5.75
01/8/2034,5.75
01/9/2034,5.75
01/10/2034,6
01/11/2034,6
01/12/2034,6
01/1/2035,6
01/2/2035,6
01/3/2035,6
01/4/2035,6.25
01/5/2035,6.25
01/6/2035,6.25
01/7/2035,6.25
01/8/2035,6.25
01/9/2035,6
01/10/2035,6
01/11/2035,6
01/12/2035,6
01/1/2036,5.75
01/2/2036,5.75
01/3/2036,5.75
01/4/2036,5.75
01/5/2036,5.5
01/6/2036,5.5
01/7/2036,5.25
01/8/2036,-
01/9/2036,-
01/10/2036,-
01/11/2036,-
01/12/2036,-
