waktu,DAIHATSU,HONDA,MITSUBISHI,SUZUKI,TOYOTA
2010-01-01,8302.0,3755.0,6855.0,4815.0,20798.0
2010-02-01,7518.0,4431.0,8246.0,4638.0,21753.0
2010-03-01,8084.0,5179.0,9068.0,6203.0,26222.0
2010-04-01,9298.0,5154.0,9560.0,6013.0,24381.0
2010-05-01,9485.0,4439.0,9544.0,6043.0,21024.0
2010-06-01,11886.0,5965.0,8875.0,6704.0,26006.0
2010-07-01,11524.0,6006.0,9586.0,5623.0,27737.0
2010-08-01,9741.0,6025.0,9310.0,6063.0,22638.0
2010-09-01,6652.0,3504.0,7299.0,4924.0,18413.0
2010-10-01,10708.0,5970.0,9407.0,7015.0,25322.0
2010-11-01,12932.0,5750.0,9791.0,7003.0,22623.0
2010-12-01,12461.0,5158.0,8942.0,6166.0,23763.0
2011-01-01,12590.0,4928.0,10673.0,6630.0,27619.0
2011-02-01,9958.0,4558.0,10480.0,6802.0,25532.0
2011-03-01,10186.0,4193.0,13074.0,8016.0,32275.0
2011-04-01,8160.0,2056.0,10913.0,7256.0,21128.0
2011-05-01,10453.0,3673.0,11048.0,7520.0,19554.0
2011-06-01,11075.0,2165.0,11009.0,7519.0,26175.0
2011-07-01,14107.0,5234.0,13724.0,9258.0,30149.0
2011-08-01,11132.0,4600.0,8902.0,7445.0,25207.0
2011-09-01,12723.0,4887.0,7749.0,8261.0,30655.0
2011-10-01,13065.0,4024.0,11495.0,9271.0,31109.0
2011-11-01,10311.0,2907.0,13532.0,8732.0,15195.0
2011-12-01,15784.0,2191.0,11817.0,7859.0,26076.0
2012-01-01,13345.0,1553.0,11941.0,5600.0,28675.0
2012-02-01,13556.0,1904.0,12642.0,8488.0,32574.0
2012-03-01,13198.0,4686.0,11982.0,7176.0,32382.0
2012-04-01,13664.0,3732.0,12020.0,6791.0,33135.0
2012-05-01,13112.0,6733.0,12368.0,12012.0,33447.0
2012-06-01,13444.0,7410.0,13034.0,11389.0,35708.0
2012-07-01,13995.0,7486.0,12313.0,13233.0,35034.0
2012-08-01,11028.0,5040.0,9195.0,10125.0,24502.0
2012-09-01,15322.0,7828.0,13966.0,13068.0,32022.0
2012-10-01,14882.0,9178.0,15005.0,15655.0,34617.0
2012-11-01,14637.0,7653.0,14312.0,14390.0,35845.0
2012-12-01,12559.0,6117.0,10140.0,8650.0,33411.0
2013-01-01,12734.0,5746.0,13168.0,12929.0,35923.0
2013-02-01,13675.0,9529.0,13705.0,14909.0,35318.0
2013-03-01,15788.0,11497.0,12689.0,8399.0,32726.0
2013-04-01,15426.0,6707.0,12836.0,13602.0,39668.0
2013-05-01,15941.0,8313.0,11819.0,10008.0,36282.0
2013-06-01,14882.0,7550.0,13204.0,15578.0,35125.0
2013-07-01,15477.0,8505.0,14000.0,16838.0,39210.0
2013-08-01,11689.0,4163.0,10487.0,12006.0,24899.0
2013-09-01,18099.0,7600.0,14269.0,16903.0,40235.0
2013-10-01,20445.0,7629.0,15216.0,13257.0,39246.0
2013-11-01,17039.0,9578.0,13964.0,14539.0,40781.0
2013-12-01,14747.0,4676.0,11982.0,15036.0,34819.0
2014-01-01,16084.0,9635.0,13403.0,14687.0,35886.0
2014-02-01,18988.0,11915.0,14393.0,13581.0,38631.0
2014-03-01,16376.0,14529.0,13668.0,14013.0,38959.0
2014-04-01,15694.0,13024.0,13151.0,13739.0,39323.0
2014-05-01,12260.0,16356.0,10600.0,12662.0,31440.0
