date,jpy,usd,inflasi,BI Rate,DAIHATSU,HONDA,MITSUBISHI,SUZUKI,TOYOTA
2010-01-01,10220.055,9321.95,3.72,6.5,8302.0,3755.0,6855.0,4815.0,20798.0
2010-02-01,10405.052631578947,9395.105263157895,3.81,6.5,7518.0,4431.0,8246.0,4638.0,21753.0
2010-03-01,10187.445454545454,9219.681818181818,3.43,6.5,8084.0,5179.0,9068.0,6203.0,26222.0
2010-04-01,9711.699999999999,9072.333333333334,3.91,6.5,9298.0,5154.0,9560.0,6013.0,24381.0
2010-05-01,10020.826315789474,9229.157894736842,4.16,6.5,9485.0,4439.0,9544.0,6043.0,21024.0
2010-06-01,10111.295454545454,9194.0,5.05,6.5,11886.0,5965.0,8875.0,6704.0,26006.0
2010-07-01,10376.954545454546,9094.454545454546,6.22,6.5,11524.0,6006.0,9586.0,5623.0,27737.0
2010-08-01,10553.047619047618,9016.761904761905,6.44,6.5,9741.0,6025.0,9310.0,6063.0,22638.0
2010-09-01,10688.473684210527,9020.842105263158,5.8,6.5,6652.0,3504.0,7299.0,4924.0,18413.0
2010-10-01,10958.714285714286,8972.904761904761,5.67,6.5,10708.0,5970.0,9407.0,7015.0,25322.0
2010-11-01,10908.666666666666,8983.285714285714,6.33,6.5,12932.0,5750.0,9791.0,7003.0,22623.0
2010-12-01,10879.0,9067.619047619048,6.96,6.5,12461.0,5158.0,8942.0,6166.0,23763.0
2011-01-01,11002.57142857143,9082.380952380952,7.02,6.5,12590.0,4928.0,10673.0,6630.0,27619.0
2011-02-01,10849.944444444445,8957.111111111111,6.84,6.75,9958.0,4558.0,10480.0,6802.0,25532.0
2011-03-01,10773.521739130434,8805.478260869566,6.65,6.75,10186.0,4193.0,13074.0,8016.0,32275.0
2011-04-01,10430.1,8694.3,6.16,6.75,8160.0,2056.0,10913.0,7256.0,21128.0
2011-05-01,10598.3,8598.8,5.98,6.75,10453.0,3673.0,11048.0,7520.0,19554.0
2011-06-01,10700.0,8607.0,5.54,6.75,11075.0,2165.0,11009.0,7519.0,26175.0
